Id;Label;In-Degree;Out-Degree;Degree
hep-th/9405171;hep-th/9405171;70;2;72
hep-th/9310194;hep-th/9310194;78;0;78
hep-th/9110072;hep-th/9110072;42;0;42
hep-th/9405172;hep-th/9405172;2;3;5
hep-th/9206084;hep-th/9206084;238;1;239
hep-th/9402073;hep-th/9402073;59;20;79
hep-th/9404139;hep-th/9404139;4;11;15
0805.4328;0805.4328;0;16;16
hep-th/9204099;hep-th/9204099;837;0;837
hep-th/0609027;hep-th/0609027;13;46;59
hep-th/0302033;hep-th/0302033;20;0;20
hep-th/0610140;hep-th/0610140;8;22;30
hep-th/0605174;hep-th/0605174;11;17;28
hep-th/0608165;hep-th/0608165;26;85;111
gr-qc/0307073;gr-qc/0307073;31;3;34
hep-th/0611048;hep-th/0611048;8;27;35
hep-th/0203273;hep-th/0203273;18;5;23
hep-th/9803222;hep-th/9803222;5;3;8
hep-th/0509148;hep-th/0509148;60;31;91
hep-th/0102166;hep-th/0102166;104;0;104
gr-qc/0412134;gr-qc/0412134;18;14;32
hep-th/0508218;hep-th/0508218;98;48;146
hep-th/0610077;hep-th/0610077;12;11;23
hep-th/0602114;hep-th/0602114;10;23;33
0811.2004;0811.2004;0;16;16
astro-ph/0503364;astro-ph/0503364;50;22;72
hep-th/0103239;hep-th/0103239;440;83;523
astro-ph/0702223;astro-ph/0702223;48;10;58
hep-th/0312067;hep-th/0312067;219;0;219
hep-ph/9411342;hep-ph/9411342;227;12;239
astro-ph/0511646;astro-ph/0511646;37;9;46
astro-ph/0511792;astro-ph/0511792;37;5;42
hep-th/0304188;hep-th/0304188;77;19;96
hep-th/0412244;hep-th/0412244;103;62;165
astro-ph/0605018;astro-ph/0605018;26;18;44
hep-th/0511140;hep-th/0511140;79;18;97
hep-th/0608121;hep-th/0608121;56;55;111
hep-th/0505050;hep-th/0505050;41;13;54
gr-qc/0511159;gr-qc/0511159;34;7;41
hep-th/0204074;hep-th/0204074;232;26;258
hep-ph/0308134;hep-ph/0308134;81;10;91
hep-ph/9802285;hep-ph/9802285;0;3;3
hep-th/9405187;hep-th/9405187;272;0;272
hep-ph/9705347;hep-ph/9705347;82;0;82
hep-ph/9704452;hep-ph/9704452;270;9;279
0912.0057;0912.0057;0;20;20
hep-th/0409148;hep-th/0409148;162;30;192
hep-th/9708109;hep-th/9708109;23;15;38
hep-th/9811013;hep-th/9811013;24;0;24
hep-th/9802162;hep-th/9802162;135;25;160
hep-th/0611273;hep-th/0611273;55;21;76
hep-th/0508174;hep-th/0508174;55;26;81
hep-th/0606211;hep-th/0606211;36;48;84
hep-th/9903163;hep-th/9903163;49;21;70
hep-th/0506151;hep-th/0506151;21;14;35
hep-th/9602014;hep-th/9602014;102;18;120
hep-th/9708025;hep-th/9708025;75;13;88
hep-th/0702112;hep-th/0702112;70;21;91
hep-th/0506228;hep-th/0506228;32;70;102
